CreateObject(1344, 2489.9390, -1649.5145, 13.3163, 0.0000, 0.0000, 0.0000);
CreateObject(2244, 2488.4529, -1647.7261, 13.3467, 0.0000, 0.0000, 0.0000);
CreateObject(7390, -111.1830, -1179.4338, 6.7582, 0.0000, 0.0000, 62.0000);
CreateObject(17578, 1568.6322, -1897.5286, 18.9196, 0.0000, 0.0000, 180.0000);
CreateObject(3521, 1091.7572, -1700.0059, 14.9202, 0.0000, 0.0000, 0.0000);
CreateObject(7093, 1563.7095, -1878.6345, 22.5747, 0.0000, 0.0000, 0.0000);
CreateObject(1280, 2482.7888, -1650.3293, 12.8701, 0.0000, 0.0000, 90.0000);
CreateObject(3434, 2509.4346, -1671.8171, 26.6789, 0.0000, 0.0000, 264.0000);
CreateObject(1257, 1496.4675, -1739.1168, 13.8261, 0.0000, 0.0000, 270.0000);
CreateObject(1257, 1445.1598, -1725.9778, 13.8261, 0.0000, 0.0000, 90.0000);
CreateObject(1238, 1534.7886, -1634.8516, 12.7010, 0.0000, 0.0000, 0.0000);
CreateObject(1238, 1534.8038, -1633.2260, 12.7010, 0.0000, 0.0000, 0.0000);
CreateObject(1238, 1534.7761, -1631.6317, 12.7010, 0.0000, 0.0000, 0.0000);
CreateObject(1238, 1534.8754, -1620.3204, 12.7010, 0.0000, 0.0000, 0.0000);
CreateObject(1238, 1534.8374, -1621.6350, 12.7010, 0.0000, 0.0000, 0.0000);
CreateObject(1238, 1534.8528, -1623.1230, 12.7010, 0.0000, 0.0000, 0.0000);
CreateObject(3524, 2488.5500, -1648.3594, 15.3955, 0.0000, 0.0000, 0.0000);
CreateObject(2404, 288.0665, -1870.0239, 2.9106, 0.0000, 0.0000, 172.0000);
CreateObject(2933, 290.9836, -1860.5010, 3.7055, 0.0000, 0.0000, 0.0000);
CreateObject(2933, 299.6034, -1860.4727, 3.7358, 0.0000, 0.0000, 0.0000);
CreateObject(2933, 286.2318, -1873.7885, 3.1657, 0.0000, 0.0000, 270.0000);
CreateObject(2933, 286.3466, -1882.4824, 2.7327, 0.0000, 0.0000, 272.0000);
CreateObject(2933, 286.8183, -1891.0046, 2.3102, 0.0000, 0.0000, 274.0000);
CreateObject(2933, 312.8918, -1860.7084, 3.7639, 0.0000, 0.0000, 0.0000);
CreateObject(2933, 321.5772, -1860.7816, 3.7890, 0.0000, 0.0000, 0.0000);
CreateObject(2933, 328.6799, -1873.3096, 3.3932, 0.0000, 0.0000, 276.0000);
CreateObject(2933, 329.6465, -1881.7483, 2.9756, 0.0000, 0.0000, 276.0000);
CreateObject(2933, 330.2671, -1890.4052, 2.5459, 0.0000, 0.0000, 272.0000);
CreateObject(2933, 326.1970, -1894.8351, 2.3014, 0.0000, 0.0000, 0.0000);
CreateObject(2933, 291.4912, -1895.2540, 2.1234, 0.0000, 0.0000, 0.0000);
CreateObject(2933, 300.2044, -1895.2645, 2.1697, 0.0000, 0.0000, 0.0000);
CreateObject(2933, 317.5886, -1894.8975, 2.2625, 0.0000, 0.0000, 0.0000);
CreateObject(2933, 308.9993, -1895.0809, 2.2176, 0.0000, 0.0000, 2.0000);
CreateObject(4642, 302.0870, -1859.2491, 3.7587, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 361.5535, -1772.5011, 4.2822, 0.0000, 0.0000, 0.0000);
CreateObject(1237, 378.8227, -1772.5106, 4.4298, 0.0000, 0.0000, 0.0000);
CreateObject(1646, 284.1928, -1894.2311, 0.7569, 0.0000, 0.0000, 356.0000);
CreateObject(14582, 303.7338, -1885.4594, 4.4630, 0.0000, 0.0000, 0.0000);
CreateObject(2680, 308.5597, -1869.3212, 5.2077, 0.0000, 0.0000, 190.0000);
CreateObject(18102, 310.1195, -1873.0729, 13.7546, 0.0000, 0.0000, 0.0000);
CreateObject(18016, 319.6051, -1878.2036, 2.9711, 0.0000, 0.0000, 268.0000);
CreateObject(2933, 327.0640, -1864.9956, 3.6794, 0.0000, 0.0000, 284.0000);
CreateObject(2933, 286.4832, -1864.9106, 3.5695, 0.0000, 0.0000, 266.0000);
CreateObject(18016, 299.9956, -1868.3159, 3.3756, 0.0000, 0.0000, 0.0000);
CreateObject(1616, 308.5496, -1860.6017, 5.1367, 0.0000, 0.0000, 0.0000);
CreateObject(16151, 329.2187, -1890.0110, 0.8490, 0.0000, 0.0000, 2.0000);
CreateObject(1841, 329.7878, -1887.7921, 2.3795, 0.0000, 0.0000, 0.0000);
CreateObject(2229, 329.9378, -1885.0969, 1.2714, 0.0000, 0.0000, 274.0000);
CreateObject(2229, 290.5057, -1872.5214, 5.4023, 0.0000, 0.0000, 92.0000);
CreateObject(2229, 290.5304, -1872.8933, 5.4023, 0.0000, 0.0000, 92.0000);
CreateObject(2232, 290.7122, -1873.7610, 6.0002, 0.0000, 0.0000, 90.0000);
CreateObject(2232, 290.7002, -1874.5121, 6.0002, 0.0000, 0.0000, 92.0000);
CreateObject(2232, 290.7088, -1872.2552, 6.0002, 0.0000, 0.0000, 90.0000);
CreateObject(2232, 290.7412, -1871.4851, 6.0002, 0.0000, 0.0000, 88.0000);
CreateObject(14391, 292.8972, -1873.5945, 2.4708, 0.0000, 0.0000, 0.0000);
